Title,Max Players,Multiplatform?,Online?,Genres,Licensed?,Comp_Time_Main,Review Score,Year,Publishers
Just Cause,1,True,True,Action,True,8.12,73,2006,Eidos
Onechanbara: Bikini Samurai Squad,1,True,True,Action,True,5.0,39,2006,Unknown
Phantasy Star Universe,1,True,True,Role-Playing (RPG),True,26.82,64,2006,Sega
Project Sylpheed: Arc of Deception,1,True,True,Action,True,4.0,64,2006,"Microsoft,SquareEnix"
Winning Eleven: Pro Evolution Soccer 2007,6,True,True,Sports,True,10.0,80,2006,Konami
Kororinpa: Marble Mania,2,True,True,Action,True,-100.0,69,2006,Nintendo
Digimon World DS,1,True,True,Role-Playing (RPG),True,25.0,49,2006,Namco
Justice League Heroes,1,True,True,Action,True,5.0,43,2006,Unknown
Innocent Life: A Futuristic Harvest Moon,1,True,True,Role-Playing (RPG),True,-100.0,67,2006,Unknown
Power Stone Collection,1,True,True,Action,True,-100.0,74,2006,Capcom
EA Replay,4,True,True,Action,True,-100.0,56,2006,EA
