Length,Title,Max Players,Multiplatform,Online,Genres,Licensed,Comp_Time_Main,Review Score,Year,Publishers
Average,Command & Conquer 3: Tiberium Wars,1,True,True,Strategy,True,24.0,82,2007,EA
Short,Overlord,1,True,True,Action,True,18.3,76,2007,Unknown
Short,Diner Dash,1,True,True,Action,True,4.3,64,2007,Unknown
Short,Medal of Honor: Heroes 2,1,True,True,Action,True,5.0,73,2007,EA
Short,MX vs. ATV Untamed,2,True,True,Racing / Driving,True,12.0,67,2007,THQ
Short,Time Crisis 4,2,True,True,Action,True,1.0,60,2007,Namco
Short,Dragon Ball Z: Budokai Tenkaichi 3,2,True,True,Action,True,12.0,72,2007,Atari
Average,Final Fantasy XII: Revenant Wings,1,True,True,Role-Playing (RPG),True,30.1,81,2007,SquareEnix
Short,Unreal Tournament III,1,True,True,Action,True,10.5,86,2007,Midway
Short,Bee Movie Game,2,True,True,Action,True,5.92,62,2007,Activision
Short,Def Jam: Icon,2,True,True,Action,True,8.0,69,2007,EA
Short,Transformers: The Game,1,True,True,Action,True,5.0,54,2007,Activision
Short,TimeShift,1,True,True,Action,True,8.4,70,2007,Unknown
